time_published,overall_sentiment_score
20220908T112500,0.086876
20220908T113519,0.026551
20220908T120000,0.230796
20220908T120000,0.237658
20220908T120551,-0.137752
20220908T121500,0.313456
20220908T122000,0.312991
20220908T122145,-0.436752
20220908T122800,0.152377
20220908T122800,0.110286
20220908T123000,0.197993
20220908T123000,0.212103
20220908T123000,0.427176
20220908T123546,0.221837
20220908T125000,0.132336
20220908T125500,0.384238
20220908T130000,0.280587
20220908T130000,0.257866
20220908T130300,0.135263
20220908T130600,0.301563
20220908T131053,0.157185
20220908T131400,0.328511
20220908T131501,0.038865
20220908T133254,0.260081
20220908T140000,0.408999
20220908T140001,0.045517
20220908T144257,-0.121123
20220908T150000,-0.067906
20220908T150000,0.060214
20220908T150000,0.031391
20220908T150748,-0.200034
20220908T151100,0.206051
20220908T151454,0.220645
20220908T152300,0.312889
20220908T152400,0.455432
20220908T153200,0.280242
20220908T153200,0.126782
20220908T153200,0.133746
20220908T153400,0.178714
20220908T154424,0.132784
20220908T155400,0.187516
20220908T160000,0.416651
20220908T160029,0.26513
20220908T162000,0.247787
20220908T163000,0.248556
20220908T164000,0.25278
20220908T164930,-0.127089
20220908T165000,0.288671
20220908T165400,0.417838
20220908T170000,0.137581
20220908T173106,0.014327
20220908T173106,0.004772
20220908T173106,0.002386
20220908T174800,0.41115
20220908T174800,0.415255
20220908T180000,0.100687
20220908T180000,0.400195
20220908T180000,0.293979
20220908T180232,0.07466
20220908T181225,0.45235
20220908T183607,0.309602
20220908T190325,0.363297
20220908T190500,0.404397
20220908T191200,0.284047
20220908T193209,0.040452
20220908T200500,0.232837
20220908T220636,-0.316736
20220908T223300,0.380432
20220909T013626,0.034058
20220909T021437,0.251353
20220909T032600,0.076347
20220909T050100,-0.019082
20220909T055505,0.213284
20220909T061200,0.375007
20220909T062021,0.230397
20220909T063000,0.249014
20220909T065816,0.21572
20220909T090117,-0.266929
20220909T091000,0.187581
20220909T091851,-0.06754
20220909T092300,-0.055513
20220909T093000,0.278845
20220909T093007,-0.004825
20220909T093020,0.016843
20220909T100010,-0.084823
20220909T103900,0.125613
20220909T104500,-0.024582
20220909T104500,0.01905
20220909T105500,0.256579
20220909T110000,0.110536
20220909T110018,0.159217
20220909T110141,0.095297
20220909T110500,0.331321
20220909T113000,-0.098908
20220909T114059,0.134656
20220909T114933,0.181804
20220909T120000,0.127348
20220909T120000,0.353575
20220909T120042,-0.021784
20220909T120300,0.28066
20220909T121500,0.04841
20220909T122147,0.109273
20220909T122242,0.361975
20220909T123139,-0.070086
20220909T123600,0.178979
20220909T123600,0.055061
20220909T130000,0.348607
20220909T130648,0.265536
20220909T131257,0.132646
20220909T133000,0.315166
20220909T133132,0.210323
20220909T134524,0.170846
20220909T140000,0.485
20220909T140000,0.492487
20220909T140236,0.31396
20220909T140421,0.277555
20220909T142600,0.235353
20220909T143008,0.339055
20220909T145000,0.248999
20220909T145000,0.253545
20220909T150000,0.079092
20220909T150000,0.071471
20220909T150748,0.242156
20220909T151100,0.338888
20220909T152600,0.390583
20220909T152600,0.394695
20220909T154500,-0.330066
20220909T164207,0.233039
20220909T170000,0.029123
20220909T170000,0.270935
20220909T170000,0
20220909T170000,0.146707
20220909T170001,0.158847
20220909T170032,-0.127893
20220909T172200,0.39755
20220909T174400,0.382545
20220909T174400,0.382545
20220909T174400,0.33768
20220909T181500,0.112367
20220909T183042,0.077034
20220909T183700,0.377003
20220909T191100,0.365922
20220909T191100,0.374607
20220909T201500,0.186546
20220909T201926,0.234463
20220909T203000,-0.419144
20220909T205118,0.004944
20220909T210800,-0.045449
20220909T214000,0.076407
20220909T214541,0.00727
20220909T220112,0.124541
20220909T221602,-0.16779
20220909T222543,0.144847
20220909T224500,0.063395
20220909T230000,0.060545
20220909T231500,0.111494
20220909T233000,0.084147
20220909T234500,0.248394
20220909T234500,0.103159
20220909T234500,0.124326
20220909T235900,0.205436
20220910T000000,0.096274
20220910T002334,0.275042
20220910T025416,-0.024053
20220910T060500,0.033875
20220910T060500,0.033875
20220910T062827,0.181489
20220910T065554,-0.019272
20220910T065554,-0.186181
20220910T072000,-0.016976
20220910T080243,-0.004849
20220910T090900,0.175225
20220910T092100,0.135428
20220910T095323,-0.147514
20220910T104000,0.120687
20220910T104500,-0.242999
20220910T111718,-0.147514
20220910T115649,-0.034011
20220910T130400,0.168386
20220910T131501,0.09439
20220910T132333,0.153478
20220910T134500,0.10945
20220910T135705,0.068398
20220910T155952,-0.034044
20220910T160700,0.024288
20220910T161800,0.100955
20220910T174400,0.108071
20220910T190400,0.156457
20220910T192200,0.157087
20220910T194300,0.16734
20220910T201640,0.388327
20220910T205700,0.026933
20220910T211233,-0.115123
20220910T225000,0.387966
20220911T084500,0.304246
20220911T084653,-0.172831
20220911T084713,0.220256
20220911T101743,-0.155864
20220911T115500,0.050527
20220911T123753,0.283527
20220911T123953,0.147992
20220911T125600,0.209287
20220911T130800,0.306683
20220911T132034,0.17097
20220911T132635,-0.24433
20220911T150000,0.39385
20220911T151002,0.334664
20220911T151600,0.112273
20220911T152600,0
20220911T155159,0.016815
20220911T182000,0.179206
20220911T193634,-0.152984
20220911T231426,0.347357
20220911T233000,-0.166619
20220911T235300,0.244545
20220912T013019,0.126521
20220912T023135,-0.177121
20220912T035545,0.108406
20220912T035847,0.33198
20220912T065146,0.05619
20220912T071231,0.15166
20220912T073500,0.195573
20220912T073500,0.211815
20220912T075500,0.210965
20220912T075500,0.229328
20220912T090016,0.068861
20220912T091100,0.310663
20220912T092100,0.150791
20220912T092410,0.227269
20220912T094146,0.024628
20220912T100000,0.21521
20220912T100000,0.21068
20220912T102620,0.245516
20220912T102947,-0.153803
20220912T104104,0.094627
20220912T104615,0.019487
20220912T105000,0.235057
20220912T105800,0.264333
20220912T110000,0.070663
20220912T110000,0.068307
20220912T110421,0.237421
20220912T112500,0.326958
20220912T113000,0.332119
20220912T113000,0.351758
