time,open,high,low,close,volume
10/5/2022 18:15,138.52,138.64,138.51,138.64,443
10/5/2022 18:20,138.65,138.65,138.53,138.65,974
10/5/2022 18:25,138.65,138.76,138.6,138.76,1442
10/5/2022 18:30,138.77,138.78,138.77,138.78,506
10/5/2022 18:35,138.78,138.86,138.78,138.8,4772
10/5/2022 18:40,139.03,139.04,139.03,139.04,493
10/5/2022 18:45,139.09,139.25,139.09,139.12,935
10/5/2022 18:50,139.07,139.07,139.07,139.07,230
10/5/2022 19:00,139.35,139.4,139.35,139.4,4594
10/5/2022 19:05,139.36,139.36,139.36,139.36,835
10/5/2022 19:10,139.41,139.41,139.35,139.35,704
10/5/2022 19:15,139.4,139.43,139.4,139.43,1326
10/5/2022 19:20,139.47,139.53,139.4,139.4,6641
10/5/2022 19:25,139.43,139.6,139.42,139.42,1140
10/5/2022 19:30,139.43,139.43,139.4,139.4,3030
10/5/2022 19:35,139.35,139.35,139.35,139.35,352
10/5/2022 19:40,139.4,139.43,139.4,139.43,614
10/5/2022 19:50,139.51,139.59,139.4,139.53,4039
10/5/2022 19:55,139.68,139.69,139.6,139.66,5041
10/5/2022 20:00,139.68,139.99,139.68,139.98,4968
10/6/2022 4:05,139.67,139.67,139.08,139.13,1745
10/6/2022 4:10,139.18,139.21,139.18,139.2,2515
10/6/2022 4:15,138.7,138.73,138.7,138.7,2009
10/6/2022 4:20,138.41,138.81,138.41,138.81,1282
10/6/2022 4:25,138.47,138.47,138.47,138.47,587
10/6/2022 4:30,138.42,138.42,138.41,138.41,665
10/6/2022 4:40,138.56,138.56,138.56,138.56,540
10/6/2022 4:45,138.55,138.71,138.4,138.4,2560
10/6/2022 4:50,138.31,138.31,138.3,138.31,634
10/6/2022 5:05,138.25,138.25,138.25,138.25,1115
10/6/2022 5:10,138.25,138.25,138.24,138.25,1640
10/6/2022 5:20,138.02,138.05,138.02,138.05,558
10/6/2022 5:55,137.8,137.8,137.8,137.8,520
10/6/2022 6:05,137.55,137.6,137.2,137.2,5664
10/6/2022 6:10,137.24,137.24,137.22,137.22,1213
10/6/2022 6:30,137.26,137.26,137.26,137.26,1146
10/6/2022 6:55,137.79,137.8,137.79,137.8,301
10/6/2022 7:00,137.9,137.9,137.8,137.8,6016
10/6/2022 7:05,137.62,138.06,137.62,138.06,4721
10/6/2022 7:10,138,138,138,138,1473
10/6/2022 7:15,137.92,137.92,137.87,137.9,2583
10/6/2022 7:20,138.23,138.23,138.23,138.23,353
10/6/2022 7:30,138,138.17,138,138.06,1146
10/6/2022 7:35,137.94,138.3,137.94,138.13,2276
10/6/2022 7:40,138.12,138.16,138.12,138.16,200
10/6/2022 7:45,138.09,138.11,138,138.03,2854
10/6/2022 7:50,137.9,137.9,137.9,137.9,615
10/6/2022 7:55,138,138,138,138,1156
10/6/2022 8:00,138.1,138.1,138.1,138.1,140
10/6/2022 8:05,137.997,138.29,137.6146,138.1,15438
10/6/2022 8:10,138.25,138.25,137.81,137.81,7915
10/6/2022 8:15,137.95,138.09,137.95,138.09,940
10/6/2022 8:20,138.02,138.3882,138.02,138.3882,2090
10/6/2022 8:25,138.4,138.4,138.23,138.35,2668
10/6/2022 8:30,138.3,138.3,138.2,138.2,1139
10/6/2022 8:35,138.29,139.4787,138.2384,139,12865
10/6/2022 8:40,139.11,139.39,139.01,139.39,7758
10/6/2022 8:45,139.39,139.39,138.77,138.93,11531
10/6/2022 8:50,138.94,139.04,138.7,138.8,6402
10/6/2022 8:55,138.75,138.98,138.6,138.7,17811
10/6/2022 9:00,138.85,138.98,138.85,138.9,2502
10/6/2022 9:05,138.87,138.87,138.61,138.61,2599
10/6/2022 9:10,138.4162,138.64,138.4,138.64,7441
10/6/2022 9:15,138.2034,138.87,138.2,138.87,1044
10/6/2022 9:20,138.86,138.87,138.55,138.55,8831
10/6/2022 9:25,138.61,138.61,138.4,138.4,5173
10/6/2022 9:30,138.24,138.6452,137.08,137.73,66319
10/6/2022 9:35,137.715,138.64,137.32,138.44,1131769
10/6/2022 9:40,138.45,139.12,138.17,139.12,769746
10/6/2022 9:45,139.06,139.32,138.7901,138.9,554504
10/6/2022 9:50,138.91,139.03,138.44,138.59,560714
10/6/2022 9:55,138.61,139.38,138.49,139.32,477543
10/6/2022 10:00,139.2921,139.49,137.84,137.96,673058
10/6/2022 10:05,137.99,138.04,137.17,137.3499,583557
10/6/2022 10:10,137.335,137.335,136.63,136.9099,681286
10/6/2022 10:15,136.85,137.14,136.6,136.62,448655
10/6/2022 10:20,136.6124,137.2469,136.6124,137,381430
10/6/2022 10:25,137,137.08,136.68,136.94,255940
10/6/2022 10:30,136.955,137.32,136.74,136.74,295958
10/6/2022 10:35,136.7454,137.45,136.6445,137.14,359394
10/6/2022 10:40,137.12,137.8,137.02,137.55,555977
10/6/2022 10:45,137.52,137.94,137.471,137.81,252303
10/6/2022 10:50,137.83,138.35,137.5299,138.325,320637
10/6/2022 10:55,138.31,138.9,138.0462,138.839,483006
10/6/2022 11:00,138.83,139.68,138.71,139.6437,504493
10/6/2022 11:05,139.67,139.79,139.22,139.31,555374
10/6/2022 11:10,139.32,140.0797,139.32,139.68,576695
10/6/2022 11:15,139.7,139.7891,139.4,139.4309,365661
10/6/2022 11:20,139.44,140.21,139.1101,140.2,530280
10/6/2022 11:25,140.19,141.23,140.09,141.2,1000955
10/6/2022 11:30,141.191,141.44,140.88,141.12,761232
10/6/2022 11:35,141.12,141.18,140.53,140.71,515398
10/6/2022 11:40,140.73,140.9978,140.6,140.6627,354196
10/6/2022 11:45,140.66,141.09,140.55,140.7,535787
10/6/2022 11:50,140.72,141.06,140.68,140.85,340524
10/6/2022 11:55,140.84,141.14,140.62,140.65,442053
10/6/2022 12:00,140.64,140.74,139.7309,139.795,533174
10/6/2022 12:05,139.75,139.88,139.24,139.3,400974
10/6/2022 12:10,139.29,139.36,139.09,139.24,395392
10/6/2022 12:15,139.22,139.46,139,139.305,340019
10/6/2022 12:20,139.305,139.4,139.07,139.1331,291443
10/6/2022 12:25,139.17,139.42,139.08,139.23,269715
10/6/2022 12:30,139.26,139.64,139.215,139.5899,221944
10/6/2022 12:35,139.575,139.6,139.2,139.54,209783
10/6/2022 12:40,139.53,139.73,139.37,139.73,287989
10/6/2022 12:45,139.713,139.8676,139.56,139.86,265237
10/6/2022 12:50,139.845,140.18,139.8005,139.9071,357197
10/6/2022 12:55,139.93,140,139.7649,139.89,252022
10/6/2022 13:00,139.89,139.98,139.7112,139.8301,228305
10/6/2022 13:05,139.85,140.05,139.53,139.7,242167
10/6/2022 13:10,139.71,139.8,139.475,139.6,161248
10/6/2022 13:15,139.585,140.14,139.55,140.12,257181
